student_id,career_id,career_name,career_domain,career_subdomain,career_cluster,age,class,stream,ability_match_component,interest_match_component,academic_match_component,learning_match_component,compatibility_score,compatibility_label
STU028692,CAR01000,Teacher Specialist 1000,Technology,Track 10,Cluster 10,13,9,General,66.8,77.98,51.8,95.7,72.49,1
STU028288,CAR00651,Environmental Engineer Specialist 651,Healthcare,Track 1,Cluster 21,16,10,General,80.22,82.81,50.7,83.0,88.01,1
STU027847,CAR00750,Pilot Specialist 750,Arts & Design,Track 10,Cluster 30,15,10,General,73.12,73.5,79.3,57.3,76.86,1
STU004538,CAR00222,UI UX Designer Specialist 222,Environment,Track 2,Cluster 12,18,12,Science-PCB,78.24,72.25,41.3,72.4,68.43,0
STU026353,CAR00320,Machine Learning Engineer Specialist 320,Hospitality & Tourism,Track 10,Cluster 20,13,7,General,72.41,70.99,62.5,88.9,71.44,1
STU031209,CAR00986,Aviation Engineer Specialist 986,Finance,Track 6,Cluster 26,12,7,General,68.46,68.79,84.8,74.4,74.68,1
STU024077,CAR00195,Automotive Engineer Specialist 195,Environment,Track 5,Cluster 15,17,11,Commerce,61.61,66.93,88.3,71.8,64.34,0
STU027874,CAR00069,Chef,Law,Track 9,Cluster 9,16,10,General,69.04,79.92,58.0,69.1,73.13,1
STU004584,CAR00665,Forestry Specialist Specialist 665,Psychology & Social Services,Track 5,Cluster 5,19,12,Commerce,74.26,73.41,44.0,44.5,73.91,1
STU024249,CAR01141,Renewable Energy Engineer Specialist 1141,Architecture & Construction,Track 1,Cluster 1,14,10,General,80.11,83.4,61.4,93.9,82.43,1
STU006372,CAR00133,Psychologist Specialist 133,Logistics & Supply Chain,Track 3,Cluster 13,13,7,General,66.54,77.16,54.0,81.6,71.69,1
STU031481,CAR00828,Aviation Engineer Specialist 828,Government & Public Service,Track 8,Cluster 18,18,11,Humanities,74.52,65.58,72.2,79.0,68.02,0
STU024316,CAR00946,Welder Specialist 946,Technology,TRACK 6,Cluster 16,18,12,Science-PCM,76.96,71.35,91.7,85.1,90.43,1
STU008629,CAR01120,Mechanical Engineer Specialist 1120,Business,Track 10,Cluster 10,14,9,General,67.24,88.68,91.7,77.6,85.97,1
STU000598,CAR00844,Psychologist Specialist 844,Architecture & Construction,Unknown,Cluster 4,15,10,General,71.35,68.67,70.9,84.6,82.87,1
STU004619,CAR00352,Energy Analyst Specialist 352,Technology,Track 2,Cluster 22,15,9,General,69.5,74.86,50.5,85.4,74.33,1
STU008577,CAR00738,Medical Laboratory Scientist Specialist 738,Energy,Track 8,Cluster 18,13,7,General,77.88,78.39,75.8,79.5,72.64,1
STU006608,CAR00979,Agricultural Scientist Specialist 979,Architecture & Construction,Track 9,Cluster 19,13,8,General,77.82,77.06,44.8,72.0,72.65,1
STU000075,CAR00663,Agricultural Scientist Specialist 663,Law,Track 3,Cluster 3,11,7,General,82.3,81.61,83.2,67.5,71.89,1
STU014405,CAR00078,Technician,Sports,Track 8,Cluster 18,17,12,Science-PCM,80.99,68.05,50.3,74.3,78.28,1
STU014819,CAR00606,Education Consultant Specialist 606,Marine,Track 6,Cluster 6,16,10,General,74.61,67.63,54.4,82.4,74.35,1
STU019812,CAR00097,Biomedical Engineer Specialist 97,EDUCATION,Track 7,Cluster 7,16,12,Commerce,63.11,73.27,87.2,79.0,73.62,1
STU019184,CAR00984,Energy Analyst Specialist 984,Marine,Track 4,Cluster 24,14,10,General,68.34,68.73,70.6,74.3,66.74,0
STU024764,CAR00527,Education Consultant Specialist 527,Finance,Track 7,Cluster 17,18,12,Humanities,78.99,76.95,43.9,90.2,80.43,1
STU018351,CAR00230,Sports Coach Specialist 230,Finance,Track 10,Cluster 20,14,9,General,84.59,69.0,81.4,80.5,75.78,1
STU014339,CAR01039,Business Analyst Specialist 1039,Business,TRACK 9,Cluster 19,14,9,General,77.1,73.49,52.1,61.5,71.14,1
STU002818,CAR00079,Research Scientist,Logistics & Supply Chain,Track 9,Cluster 19,16,10,General,73.38,80.91,85.2,81.1,78.94,1
STU022101,CAR00728,Chemical Engineer Specialist 728,Skilled Trades,Track 8,Cluster 8,18,12,Commerce,76.14,61.5,69.3,60.1,77.66,1
STU011751,CAR00665,Forestry Specialist Specialist 665,Psychology & Social Services,Track 5,Cluster 5,19,12,Commerce,79.8,72.05,49.9,72.3,67.76,0
STU027615,CAR00459,UI UX Designer Specialist 459,Research,Track 9,Cluster 9,16,11,Commerce,75.05,75.97,83.9,92.7,79.37,1
STU018256,CAR00798,Web Developer Specialist 798,Law,Track 8,Cluster 18,14,8,General,69.69,76.26,81.4,37.4,71.96,1
STU015759,CAR01081,Psychologist Specialist 1081,Technology,Track 1,Cluster 1,15,11,Humanities,77.51,70.38,84.9,76.3,85.93,1
STU024271,CAR00746,Renewable Energy Engineer Specialist 746,Psychology & Social Services,Track 6,Cluster 26,16,12,Science-PCB,70.64,67.0,64.5,82.7,65.33,0
STU013474,CAR00109,Geneticist Specialist 109,Technology,Track 9,Cluster 19,13,7,General,78.9,77.89,94.9,51.4,85.96,1
STU004073,CAR00160,Data Scientist Specialist 160,Logistics & Supply Chain,Track 10,Cluster 10,13,9,General,55.2,76.12,75.8,73.6,65.39,0
STU021906,CAR00345,Biotechnologist Specialist 345,Arts & Design,Track 5,Cluster 15,13,9,General,67.81,76.58,88.7,74.4,74.03,1
STU011535,CAR00183,Pharmacist Specialist 183,Arts & Design,Track 3,Cluster 3,13,7,General,81.91,70.17,85.7,37.0,79.6,1
STU026020,CAR00542,Animator Specialist 542,Engineering,Track 2,Cluster 2,12,8,General,48.39,77.49,81.1,74.0,72.92,1
STU006698,CAR00813,Nurse Specialist 813,Healthcare,TRACK 3,Cluster 3,13,7,General,65.15,82.41,86.9,49.1,78.01,1
STU001900,CAR00048,Marketing Specialist,Arts & Design,Track 8,Cluster 18,13,7,General,68.28,71.73,62.2,83.0,72.49,1
STU011707,CAR01200,Electrical Engineer Specialist 1200,Marine,Unknown,Cluster 30,15,10,General,78.26,69.33,76.3,48.6,64.2,0
STU025856,CAR00995,Entrepreneur Specialist 995,Hospitality & Tourism,Track 5,Cluster 5,11,7,General,87.12,72.94,60.2,71.5,73.4,1
STU005304,CAR01112,Cloud Engineer Specialist 1112,Agriculture,Track 2,Cluster 2,13,9,General,71.86,68.06,78.5,78.2,67.34,0
STU004888,CAR00922,Education Consultant Specialist 922,Life Sciences,Track 2,Cluster 22,17,11,Science-PCM,81.47,64.53,65.1,90.3,75.98,1
STU006590,CAR00558,Cybersecurity Analyst Specialist 558,Government & Public Service,Track 8,Cluster 18,14,10,General,70.97,76.25,92.7,72.4,78.54,1
STU024824,CAR00721,Network Engineer Specialist 721,Defence & Security,Track 1,Cluster 1,12,7,General,79.26,80.96,95.9,68.8,75.99,1
STU031880,CAR00315,Technician Specialist 315,Government & Public Service,Track 5,Cluster 15,14,10,General,66.66,84.53,69.5,42.2,66.78,0
STU001778,CAR01152,Economist Specialist 1152,Government & Public Service,Track 2,Cluster 12,14,9,General,76.65,71.42,80.4,44.3,77.26,1
STU028885,CAR00760,Human Resources Specialist Specialist 760,Life Sciences,Track 10,Cluster 10,14,8,General,78.96,78.29,61.8,89.5,82.79,1
STU013704,CAR00413,Biomedical Engineer Specialist 413,Manufacturing,Track 3,Cluster 23,14,10,General,74.41,69.76,75.0,61.7,69.38,0
STU015516,CAR00695,Graphic Designer Specialist 695,Media & Communication,Track 5,Cluster 5,13,8,General,66.8,73.62,60.4,56.6,69.49,0
STU011390,CAR00975,Medical Laboratory Scientist Specialist 975,Healthcare,Track 5,Cluster 15,14,8,General,77.66,83.74,69.6,80.7,77.15,1
STU015186,CAR01038,Data Analyst Specialist 1038,Marine,Track 8,Cluster 18,15,9,General,74.38,75.97,72.4,76.8,71.17,1
STU018561,CAR01137,Agricultural Scientist Specialist 1137,Healthcare,Track 7,Cluster 27,13,9,General,79.79,81.04,80.1,71.0,80.35,1
STU027857,CAR00462,Illustrator Specialist 462,Healthcare,Track 2,Cluster 12,16,10,General,72.95,66.58,77.0,60.1,73.98,1
STU007158,CAR00430,Renewable Energy Engineer Specialist 430,Logistics & Supply Chain,Track 10,Cluster 10,16,12,Commerce,71.62,68.08,72.6,86.4,70.86,1
STU031320,CAR00943,Supply Chain Analyst Specialist 943,Logistics & Supply Chain,Track 3,Cluster 13,13,7,General,64.55,77.59,81.5,92.4,74.47,1
STU028035,CAR00744,Forestry Specialist Specialist 744,Law,Track 4,Cluster 24,12,7,General,71.46,70.19,80.9,74.6,67.56,0
STU020980,CAR00992,Auditor Specialist 992,Media & Communication,Track 2,Cluster 2,16,11,Commerce,66.03,78.76,93.0,80.0,74.29,1
STU010963,CAR00667,Renewable Energy Engineer Specialist 667,Defence & Security,Track 7,Cluster 7,17,12,Science-PCM,84.09,72.01,37.5,91.0,73.76,1
STU007632,CAR00702,Hotel Manager Specialist 702,Research,Track 2,Cluster 12,16,11,Science-PCB,67.39,79.4,72.5,57.1,72.31,1
STU021533,CAR00226,Animator Specialist 226,Transportation,Track 6,Cluster 16,16,10,General,75.7,75.95,67.6,78.8,76.56,1
STU023612,CAR00717,Cloud Engineer Specialist 717,Law,Track 7,Cluster 27,14,8,General,61.6,76.78,37.7,54.1,60.97,0
STU023279,CAR00053,Education Consultant,Skilled Trades,Track 3,Cluster 23,18,12,Unknown,73.8,66.42,58.0,66.6,67.07,0
STU019069,CAR00594,Oceanographer Specialist 594,Research,Track 4,Cluster 24,18,12,Commerce,79.46,80.8,92.6,65.2,83.97,1
STU023921,CAR00258,Urban Planner Specialist 258,Law,Track 8,Cluster 18,13,7,General,79.46,83.82,63.8,59.6,77.93,1
STU005515,CAR01008,Journalist Specialist 1008,Energy,Track 8,Cluster 18,11,7,General,73.72,85.21,82.2,64.6,79.3,1
STU010003,CAR00370,Psychologist Specialist 370,Defence & Security,Track 10,Cluster 10,12,8,General,76.66,74.74,79.1,80.7,75.46,1
STU019428,CAR00372,Social Worker Specialist 372,Arts & Design,Track 2,Cluster 12,15,10,General,62.1,71.33,58.6,63.6,70.94,1
STU021773,CAR00718,Database Administrator Specialist 718,Education,Track 8,Cluster 28,13,9,General,61.38,67.97,76.7,70.0,55.86,0
STU015132,CAR00785,Supply Chain Analyst Specialist 785,Engineering,Track 5,Cluster 5,11,7,General,79.82,78.72,48.2,81.3,88.43,1
STU025863,CAR00188,GENETICIST SPECIALIST 188,Skilled Trades,Track 8,Cluster 8,16,10,General,86.82,72.25,81.1,44.8,78.8,1
STU023311,CAR00522,Marketing Specialist Specialist 522,Energy,Track 2,Cluster 12,13,7,Unknown,71.25,81.33,46.3,83.6,71.13,1
STU029700,CAR00755,Auditor Specialist 755,Skilled Trades,Track 5,Cluster 5,13,8,General,75.41,85.51,62.3,72.9,76.22,1
STU007252,CAR00740,Biotechnologist Specialist 740,Aviation,Track 10,Cluster 20,14,10,General,81.78,63.66,96.8,77.6,76.34,1
STU029314,CAR00361,Investment Analyst Specialist 361,Transportation,Track 1,Cluster 1,12,8,General,64.57,74.07,87.4,80.3,65.88,0
STU029863,CAR01013,Product Designer Specialist 1013,Finance,Track 3,Cluster 23,15,10,General,73.06,75.28,96.6,91.2,74.6,1
STU011043,CAR00602,Human Resources Specialist Specialist 602,Manufacturing,Track 2,Cluster 2,15,11,Science-PCM,81.6,76.09,75.8,89.1,74.98,1
STU032538,CAR00092,Civil Engineer Specialist 92,Aviation,Track 2,Cluster 2,17,11,Science-PCM,70.54,77.76,68.0,62.1,68.06,0
STU004924,CAR00108,Biotechnologist Specialist 108,Research,Track 8,Cluster 18,16,12,Humanities,75.89,72.06,75.4,56.4,76.06,1
STU016372,CAR00519,Investment Analyst Specialist 519,Environment,Track 9,Cluster 9,14,10,General,68.2,73.21,93.8,69.6,76.99,1
STU025774,CAR00267,Geneticist Specialist 267,Sports,Track 7,Cluster 27,11,7,General,76.93,74.09,61.3,68.9,73.66,1
STU005667,CAR01164,Policy Analyst Specialist 1164,Healthcare,Track 4,Cluster 24,14,8,General,70.07,59.4,77.1,85.1,74.46,1
STU023206,CAR00920,Legal Advisor Specialist 920,Engineering,Track 10,Cluster 20,16,10,General,79.99,77.27,82.6,93.6,78.4,1
STU003408,CAR00274,Automotive Engineer Specialist 274,Life Sciences,Track 4,Cluster 4,12,8,General,80.26,81.85,62.9,87.8,81.76,1
STU030450,CAR00070,Hotel Manager,Education,Track 10,Cluster 10,15,10,General,76.79,78.4,67.0,62.4,74.74,1
STU028741,CAR00892,Nurse Specialist 892,Technology,Track 2,Cluster 22,14,10,General,80.96,72.04,55.8,76.8,74.0,1
STU013060,CAR00497,Nurse Specialist 497,Aviation,Track 7,Cluster 17,14,10,General,75.62,76.94,78.7,60.1,84.58,1
STU003902,CAR00852,Content Creator Specialist 852,Law,Track 2,Cluster 12,17,11,Humanities,68.85,66.11,58.2,79.1,67.07,0
STU022500,CAR00706,Supply Chain Analyst Specialist 706,Life Sciences,Track 6,Cluster 16,14,9,General,67.53,80.09,78.5,88.9,80.55,1
STU016612,CAR00263,Dentist Specialist 263,Media & Communication,Track 3,Cluster 23,13,9,General,55.54,68.76,92.0,77.5,68.76,0
STU007302,CAR00658,Dentist Specialist 658,Transportation,Track 8,Cluster 28,15,10,General,57.14,75.39,71.1,69.7,60.08,0
STU001151,CAR00140,Public Relations Specialist Specialist 140,Agriculture,Track 10,Cluster 20,12,7,General,73.91,66.81,61.6,78.5,71.13,1
STU016309,CAR00660,Microbiologist Specialist 660,Marine,Track 10,Cluster 30,16,12,Science-PCM,79.34,78.83,27.4,55.9,76.62,1
STU010816,CAR00267,Geneticist Specialist 267,Sports,Track 7,Cluster 27,12,7,General,86.6,70.01,90.7,74.3,75.28,1
STU006304,CAR00649,Chemical Engineer Specialist 649,Technology,Track 9,Cluster 19,14,8,General,64.95,64.84,78.7,75.4,72.15,1
STU017277,CAR00447,Teacher Specialist 447,Law,Track 7,Cluster 27,16,12,HUMANITIES,77.15,64.38,77.8,62.4,74.37,1
STU018834,CAR00582,Biotechnologist Specialist 582,Law,Track 2,Cluster 12,16,10,General,70.74,65.96,95.2,93.1,68.24,0
STU008847,CAR01121,Electrical Engineer Specialist 1121,Finance,Track 1,Cluster 11,16,11,Science-PCB,70.21,69.23,76.2,84.4,70.88,1
STU029175,CAR00615,Content Creator Specialist 615,Arts & Design,Track 5,Cluster 15,19,12,Science-PCB,71.46,72.73,93.9,70.1,77.02,1
STU003329,CAR00612,Defence Officer Specialist 612,Government & Public Service,Track 2,Cluster 12,14,10,General,81.1,67.1,86.1,42.6,69.94,0
STU001007,CAR00335,Environmental Engineer Specialist 335,Aviation,Track 5,Cluster 5,16,12,Humanities,76.56,62.91,42.0,76.8,73.75,1
STU022931,CAR00206,Marketing Specialist Specialist 206,Psychology & Social Services,Track 6,Cluster 26,13,7,General,81.1,69.66,59.1,65.5,77.36,1
STU031941,CAR00066,FASHION DESIGNER,Marine,Track 6,Cluster 6,15,9,General,86.75,65.92,77.8,75.4,82.15,1
STU027626,CAR00131,Teacher Specialist 131,Hospitality & Tourism,Track 1,Cluster 11,16,11,Humanities,77.18,80.6,83.8,52.1,72.24,1
STU016184,CAR00765,Psychologist Specialist 765,Energy,Track 5,Cluster 15,12,7,General,58.58,73.89,78.8,64.2,66.76,0
STU007853,CAR00237,Research Scientist Specialist 237,Arts & Design,TRACK 7,Cluster 27,15,10,General,74.71,74.25,57.6,96.0,72.79,1
STU020748,CAR00890,Urban Planner Specialist 890,Skilled Trades,Track 10,Cluster 20,14,8,General,76.82,66.65,77.4,52.4,68.86,0
STU015595,CAR01150,Auditor Specialist 1150,Education,Track 10,Cluster 10,14,10,General,70.15,73.37,89.5,33.6,75.35,1
STU015288,CAR00332,Electronics Engineer Specialist 332,Manufacturing,Track 2,Cluster 2,13,7,General,81.59,77.08,88.9,63.4,82.11,1
STU021697,CAR00541,Illustrator Specialist 541,Technology,Track 1,Cluster 1,12,8,General,74.9,77.24,74.1,86.8,84.86,1
STU023906,CAR00540,Fashion Designer Specialist 540,Research,Track 10,Unknown,12,8,General,81.89,75.59,96.8,47.1,70.43,1
STU005078,CAR00878,Mobile App Developer Specialist 878,Finance,Track 8,Cluster 8,12,7,General,82.2,68.38,78.1,67.4,76.41,1
STU002665,CAR00726,Electrical Engineer Specialist 726,Sports,Track 6,Cluster 6,14,10,General,75.54,68.47,73.1,72.7,67.52,0
STU020632,CAR00048,Marketing Specialist,Arts & Design,Track 8,Cluster 18,15,10,General,63.5,75.96,70.4,42.1,63.76,0
STU005575,CAR01172,Fashion Designer Specialist 1172,Aviation,Track 2,Cluster 2,15,9,General,71.46,71.85,82.0,67.5,74.45,1
STU025729,CAR00944,Logistics Manager Specialist 944,Skilled Trades,Track 4,Cluster 14,17,11,Humanities,78.34,69.78,66.2,74.7,74.09,1
STU031543,CAR00944,Logistics Manager Specialist 944,Skilled Trades,Track 4,Cluster 14,14,10,General,71.32,76.8,82.6,75.8,79.37,1
STU000296,CAR00593,Marine Engineer Specialist 593,Skilled Trades,Track 3,Cluster 23,16,12,Humanities,89.49,72.72,70.1,70.4,77.39,1
STU002976,CAR00096,Chemical Engineer Specialist 96,Law,Track 6,Cluster 6,17,11,Science-PCM,75.05,66.39,95.6,54.0,71.78,1
STU002375,CAR01159,Education Consultant Specialist 1159,Logistics & Supply Chain,Track 9,Cluster 19,15,9,General,76.25,78.89,87.8,78.6,79.85,1
STU020733,CAR00939,Hotel Manager Specialist 939,Arts & Design,Track 9,Cluster 9,18,12,Humanities,75.39,72.53,58.2,67.3,74.41,1
STU025733,CAR00958,Network Engineer Specialist 958,Business,Track 8,Cluster 28,12,8,General,66.68,70.54,79.7,58.8,67.91,0
STU022506,CAR00020,Architect,Media & Communication,Track 10,Cluster 20,15,11,SCIENCE-PCB,75.07,65.87,61.8,50.8,69.89,0
STU017236,CAR00097,Biomedical Engineer Specialist 97,Education,Track 7,Cluster 7,12,7,General,63.25,72.27,77.1,72.8,60.82,0
STU023942,CAR00898,Biotechnologist Specialist 898,Architecture & Construction,Track 8,Cluster 28,16,12,Humanities,77.06,80.85,65.4,69.8,69.37,0
STU009368,CAR01028,Software Developer Specialist 1028,Engineering,Track 8,Cluster 8,17,11,Commerce,76.38,70.5,68.9,75.9,81.55,1
STU014614,CAR00384,Animator Specialist 384,Environment,Track 4,Cluster 24,14,8,General,74.85,70.15,89.3,66.9,74.03,1
STU013371,CAR00243,Cloud Engineer Specialist 243,Research,Track 3,Cluster 3,11,7,General,66.21,81.0,87.2,80.8,77.61,1
STU005875,CAR00375,Defence Officer Specialist 375,Sports,Track 5,Cluster 15,12,8,General,73.34,65.77,65.6,87.4,64.98,0
STU031174,CAR00592,Pilot Specialist 592,Logistics & Supply Chain,Track 2,CLUSTER 22,12,8,General,77.34,74.49,55.2,53.4,78.77,1
STU005641,CAR01036,Mobile App Developer Specialist 1036,Transportation,Track 6,Cluster 16,15,9,General,71.79,74.23,77.5,98.9,75.1,1
STU031725,CAR00084,Cybersecurity Analyst Specialist 84,Healthcare,Track 4,Cluster 24,16,10,General,92.79,74.77,68.5,37.8,85.16,1
STU014810,CAR00823,Forestry Specialist Specialist 823,Business,Track 3,Cluster 13,12,7,General,65.11,69.77,70.8,87.9,75.34,1
STU020159,CAR00487,Civil Engineer Specialist 487,Technology,Track 7,Cluster 7,14,9,General,78.06,78.08,82.3,27.2,73.96,1
STU021037,CAR00064,UI UX Designer,Transportation,Track 4,Cluster 4,16,10,General,74.94,68.86,86.4,70.1,73.26,1
STU021359,CAR00333,CHEMICAL ENGINEER SPECIALIST 333,Energy,Track 3,Cluster 3,12,7,General,80.09,72.33,76.5,79.1,68.4,0
STU007556,CAR00032,AGRONOMIST,Agriculture,Track 2,Cluster 2,19,12,Commerce,69.7,74.75,56.7,84.6,76.62,1
STU013052,CAR00821,Agricultural Scientist Specialist 821,Aviation,Track 1,Cluster 11,18,12,Commerce,74.72,71.74,50.0,87.0,75.73,1
STU015749,CAR00423,Microbiologist Specialist 423,Government & Public Service,Track 3,Cluster 3,16,10,General,60.3,67.04,58.5,43.7,66.53,0
STU014432,CAR01152,Economist Specialist 1152,Government & Public Service,Track 2,Cluster 12,16,11,Science-PCB,75.69,73.83,68.9,44.8,66.79,0
STU019907,CAR00726,Electrical Engineer Specialist 726,Sports,Track 6,CLUSTER 6,15,10,GENERAL,83.26,59.81,65.6,78.8,74.7,1
STU002994,CAR00866,Electrician Specialist 866,Engineering,Track 6,Cluster 26,14,10,General,70.91,74.74,58.6,53.3,77.61,1
STU031996,CAR00180,Doctor Specialist 180,Government & Public Service,Track 10,Cluster 30,14,10,General,58.92,82.01,93.5,42.5,70.04,1
STU003383,CAR00544,Hotel Manager Specialist 544,Life Sciences,Track 4,Cluster 4,18,12,Commerce,62.94,75.23,83.6,57.3,65.21,0
STU032522,CAR00698,Fashion Designer Specialist 698,Hospitality & Tourism,Track 8,Cluster 8,16,12,Humanities,77.1,63.0,42.0,88.6,66.41,0
STU001817,CAR00244,Database Administrator Specialist 244,Technology,Track 4,Cluster 4,18,11,Humanities,78.61,81.61,87.1,70.9,91.44,1
STU012220,CAR00042,Accountant,Law,Unknown,Cluster 12,18,11,Science-PCB,62.14,61.05,74.6,45.6,62.02,0
STU019856,CAR01105,Technician Specialist 1105,Logistics & Supply Chain,Track 5,Cluster 25,13,8,General,74.11,75.54,74.6,76.6,74.33,1
STU032322,CAR00280,Financial Analyst Specialist 280,Transportation,Track 10,Cluster 10,11,7,General,74.26,70.07,73.6,75.0,72.77,1
STU004422,CAR00353,Automotive Engineer Specialist 353,Engineering,Track 3,Cluster 23,14,8,General,77.42,73.7,25.0,71.9,66.93,0
STU023576,CAR00622,Chef Specialist 622,TECHNOLOGY,Track 2,Cluster 22,16,12,Science-PCM,69.8,72.24,37.6,44.3,72.91,1
STU023761,CAR00415,Architect Specialist 415,Transportation,Track 5,Cluster 25,16,10,GENERAL,77.29,68.71,83.6,85.3,74.82,1
STU029168,CAR00733,Doctor Specialist 733,Life Sciences,Track 3,Cluster 13,18,12,Science-PCM,64.04,72.89,77.3,79.7,70.48,1
STU024524,CAR00454,Defence Officer Specialist 454,Fashion,Track 4,Cluster 4,18,12,Commerce,62.08,73.21,89.6,51.6,65.2,0
STU004272,CAR00111,Agronomist Specialist 111,Healthcare,Track 1,Cluster 21,13,9,General,62.48,62.1,83.8,82.8,80.47,1
STU032414,CAR00269,Agronomist Specialist 269,Skilled Trades,Track 9,Cluster 29,16,10,General,66.97,73.0,69.2,66.5,72.3,1
STU031276,CAR01018,Hotel Manager Specialist 1018,Defence & Security,Track 8,Cluster 28,15,10,General,71.58,75.54,72.3,97.4,79.15,1
STU000790,CAR00421,Dentist Specialist 421,Education,Track 1,Cluster 1,14,10,General,59.24,66.55,32.7,59.0,57.46,0
STU032878,CAR00969,Urban Planner Specialist 969,Sports,Track 9,Cluster 9,16,11,Science-PCM,78.19,74.74,91.8,74.2,80.86,1
STU017287,CAR01145,Pilot Specialist 1145,Aviation,Track 5,Cluster 5,16,10,General,76.72,79.68,75.7,58.9,81.33,1
STU028646,CAR00996,Marketing Specialist Specialist 996,Sports,Track 6,Cluster 6,14,8,General,63.22,77.52,41.3,96.7,72.21,1
STU030621,CAR01200,Electrical Engineer Specialist 1200,Marine,Track 10,Cluster 30,12,7,General,63.8,82.47,83.6,87.6,71.59,1
STU031316,CAR00565,Business Analyst Specialist 565,Logistics & Supply Chain,Track 5,Cluster 25,14,8,General,78.97,71.6,92.6,76.6,81.04,1
STU009411,CAR01173,Illustrator Specialist 1173,Marine,Track 3,Cluster 3,15,9,Unknown,77.71,84.44,60.9,82.0,77.01,1
STU030952,CAR01088,Public Relations Specialist Specialist 1088,Manufacturing,Track 8,Cluster 8,19,12,Humanities,72.4,59.59,95.7,75.8,74.05,1
STU000731,CAR00042,Accountant,Law,Track 2,Cluster 12,12,8,General,61.9,58.56,62.1,54.3,63.24,0
STU024546,CAR00322,Cloud Engineer Specialist 322,Logistics & Supply Chain,Track 2,Cluster 22,18,11,Commerce,69.6,79.95,92.7,67.6,76.32,1
STU028261,CAR00486,Business Analyst Specialist 486,Research,Track 6,Cluster 6,14,8,General,64.5,79.17,68.2,79.9,73.63,1
STU022398,CAR01031,Machine Learning Engineer Specialist 1031,Agriculture,Track 1,Cluster 11,18,11,Science-PCM,85.26,75.03,53.4,59.7,75.65,1
STU026725,CAR00016,Electronics Engineer,Education,Track 6,Cluster 16,15,9,General,74.97,74.17,69.9,59.8,66.34,0
STU016961,CAR00960,Business Analyst Specialist 960,Law,Track 10,Cluster 30,18,12,Science-PCB,78.31,71.87,71.0,31.7,69.18,0
STU030497,CAR00997,Human Resources Specialist Specialist 997,Logistics & Supply Chain,Track 7,Cluster 7,15,9,General,75.26,76.04,56.1,59.0,80.66,1
STU022389,CAR01165,Defence Officer Specialist 1165,Life Sciences,Track 5,Cluster 25,13,7,General,79.3,73.74,88.0,74.8,76.37,1
STU018889,CAR00846,Social Worker Specialist 846,Energy,Track 6,Cluster 6,18,11,Science-PCB,68.92,58.5,64.0,70.9,60.15,0
STU008587,CAR00347,Agricultural Scientist Specialist 347,Hospitality & Tourism,Track 7,Cluster 17,12,7,General,69.14,71.73,63.8,60.3,69.98,0
STU018367,CAR00895,Dentist Specialist 895,Life Sciences,Track 5,Cluster 25,18,12,Science-PCM,70.36,68.09,89.0,93.8,79.71,1
STU020945,CAR00791,Software Developer Specialist 791,Manufacturing,Track 1,Cluster 11,17,12,Science-PCM,69.65,84.12,87.7,85.5,81.21,1
STU032097,CAR00774,Graphic Designer Specialist 774,Government & Public Service,Track 4,Cluster 24,12,8,General,76.42,74.54,66.8,48.6,73.15,1
STU017341,CAR00198,Marine Engineer Specialist 198,Energy,Track 8,Cluster 18,16,10,General,74.49,65.94,83.6,54.6,67.29,0
STU026924,CAR00015,Electrical Engineer,Law,TRACK 5,Cluster 15,19,12,Humanities,73.7,73.62,89.6,83.2,77.4,1
STU026379,CAR00375,Defence Officer Specialist 375,Sports,Track 5,Cluster 15,16,11,Science-PCM,75.46,69.58,80.6,87.8,69.44,0
STU004564,CAR00880,Data Analyst Specialist 880,Education,Track 10,Cluster 10,15,11,Science-PCB,79.54,72.05,66.2,63.9,79.74,1
STU013383,CAR00973,Pharmacist Specialist 973,Technology,Track 3,Cluster 13,13,8,General,84.02,77.22,44.8,66.7,85.23,1
STU000946,CAR00951,AI Engineer Specialist 951,Environment,Track 1,Cluster 21,13,8,General,80.55,81.02,68.5,55.8,75.9,1
STU018112,CAR00064,UI UX Designer,Transportation,Track 4,Cluster 4,17,12,Humanities,80.54,76.44,62.2,78.1,77.77,1
STU002951,CAR00437,Accountant Specialist 437,Agriculture,Track 7,Cluster 17,11,7,General,71.46,67.49,72.1,87.8,79.65,1
STU012449,CAR01162,Social Worker Specialist 1162,Technology,Track 2,Cluster 22,17,11,Unknown,55.86,79.43,73.4,90.3,79.32,1
STU027508,CAR00745,Environmental Scientist Specialist 745,Education,Track 5,Cluster 25,16,11,Humanities,81.85,72.58,79.7,91.1,84.26,1
STU032354,CAR01035,Web Developer Specialist 1035,Energy,Track 5,Cluster 15,18,12,Science-PCM,70.46,68.84,86.2,63.5,68.91,0
STU032182,CAR00267,Geneticist Specialist 267,Sports,Track 7,Cluster 27,14,9,General,78.05,79.34,88.4,86.3,81.45,1
STU020774,CAR00353,Automotive Engineer Specialist 353,Engineering,Track 3,Cluster 23,17,12,Humanities,72.9,73.22,89.2,90.1,78.88,1
STU007535,CAR00826,Energy Analyst Specialist 826,Education,Track 6,Cluster 16,15,9,General,72.11,77.75,74.3,72.2,70.83,1
STU025619,CAR00389,Sports Scientist Specialist 389,Aviation,Track 9,Cluster 29,16,11,Science-PCB,70.05,77.13,64.9,43.4,65.33,0
