career_id,career_name,career_domain,career_subdomain,career_cluster,required_mathematical_ability,required_logical_reasoning,required_scientific_thinking,required_problem_solving,required_analytical_thinking,required_communication,required_creativity,required_digital_ability,required_spatial_ability,required_practical_ability,required_learning_ability,required_technology_interest,required_engineering_interest,required_healthcare_interest,required_business_interest,required_finance_interest,required_arts_interest,required_design_interest,required_research_interest,required_environment_interest,required_agriculture_interest,minimum_education_level
CAR00287,Lawyer Specialist 287,Psychology & Social Services,Track 7,Cluster 17,45.0,60.0,40.0,47.0,45.0,44.0,76.0,67.0,92.0,67.0,90.0,29.0,53.0,25.0,73.0,89.0,33.0,57.0,57.0,22.0,91.0,Higher Secondary
CAR00288,Legal Advisor Specialist 288,Government & Public Service,Track 8,Cluster 18,35.0,85.0,55.0,72.0,32.0,22.0,56.0,48.0,70.0,20.0,38.0,62.0,57.0,22.0,51.0,45.0,39.0,42.0,65.0,25.0,76.0,Professional Degree
CAR00289,Teacher Specialist 289,Defence & Security,Track 9,Cluster 19,76.0,40.0,89.0,86.0,41.0,39.0,43.0,24.0,44.0,29.0,34.0,40.0,81.0,55.0,30.0,26.0,68.0,88.0,93.0,30.0,71.0,Postgraduate
CAR00290,Education Consultant Specialist 290,Media & Communication,Track 10,Cluster 20,67.0,51.0,17.0,29.0,93.0,66.0,95.0,76.0,88.0,88.0,60.0,32.0,80.0,59.0,61.0,70.0,33.0,84.0,55.0,87.0,54.0,Higher Secondary
CAR00291,Psychologist Specialist 291,Arts & Design,Track 1,Cluster 21,44.0,26.0,16.0,75.0,37.0,53.0,21.0,46.0,,27.0,18.0,73.0,64.0,74.0,45.0,58.0,33.0,71.0,48.0,85.0,27.0,Undergraduate
CAR00292,Counsellor Specialist 292,Fashion,Track 2,Cluster 22,25.0,91.0,31.0,72.0,26.0,30.0,18.0,44.0,45.0,34.0,85.0,22.0,79.0,94.0,63.0,84.0,43.0,88.0,27.0,44.0,78.0,Postgraduate
CAR00293,Social Worker Specialist 293,Hospitality & Tourism,Track 3,Cluster 23,95.0,50.0,39.0,43.0,21.0,32.0,78.0,90.0,29.0,62.0,60.0,84.0,81.0,72.0,75.0,94.0,46.0,80.0,21.0,65.0,18.0,Postgraduate
CAR00294,Civil Services Officer Specialist 294,Sports,Track 4,Cluster 24,22.0,77.0,43.0,59.0,52.0,17.0,62.0,83.0,47.0,73.0,60.0,48.0,35.0,71.0,87.0,24.0,63.0,25.0,94.0,69.0,78.0,Postgraduate
CAR00295,Policy Analyst Specialist 295,Logistics & Supply Chain,Track 5,Cluster 25,21.0,80.0,28.0,59.0,26.0,,75.0,20.0,67.0,62.0,63.0,26.0,15.0,42.0,92.0,45.0,92.0,69.0,66.0,92.0,72.0,Diploma
CAR00296,Defence Officer Specialist 296,Skilled Trades,Track 6,Cluster 26,25.0,27.0,35.0,53.0,89.0,19.0,33.0,49.0,81.0,49.0,89.0,37.0,79.0,44.0,71.0,31.0,59.0,24.0,24.0,36.0,23.0,Undergraduate
CAR00297,Journalist Specialist 297,Research,Track 7,Cluster 27,23.0,77.0,38.0,20.0,93.0,77.0,89.0,44.0,78.0,48.0,18.0,27.0,92.0,15.0,48.0,46.0,83.0,36.0,41.0,72.0,44.0,Postgraduate
CAR00298,Public Relations Specialist Specialist 298,Technology,Track 8 ,Cluster 28,88.0,85.0,91.0,69.0,95.0,55.0,52.0,67.0,37.0,40.0,94.0,53.0,59.0,88.0,18.0,32.0,59.0,16.0,62.0,35.0,28.0,Professional Degree
CAR00299,Content Creator Specialist 299,Engineering,Track 9,Cluster 29,92.0,80.0,55.0,79.0,62.0,84.0,18.0,79.0,35.0,72.0,37.0,62.0,79.0,71.0,40.0,92.0,61.0,69.0,17.0,33.0,46.0,Secondary
CAR00300,Graphic Designer Specialist 300,Healthcare,Track 10,Cluster 30,92.0,15.0,95.0,65.0,63.0,32.0,91.0,25.0,19.0,22.0,28.0,74.0,47.0,71.0,51.0,32.0,43.0,74.0,16.0,30.0,18.0,Postgraduate
CAR00301,UI UX Designer Specialist 301,Life Sciences,Track 1,Cluster 1,69.0,67.0,68.0,95.0,34.0,84.0,67.0,68.0,71.0,45.0,30.0,79.0,29.0,17.0,94.0,93.0,,94.0,80.0,31.0,77.0,Secondary
CAR00302,Product Designer Specialist 302,Agriculture,Track 2,Cluster 2,68.0,93.0,58.0,55.0,24.0,65.0,53.0,59.0,47.0,87.0,28.0,92.0,53.0,81.0,40.0,40.0,93.0,53.0,24.0,18.0,87.0,Undergraduate
CAR00303,Fashion Designer Specialist 303,Environment,Track 3,Cluster 3,20.0,94.0,41.0,75.0,73.0,72.0,77.0,89.0,52.0,63.0,38.0,66.0,21.0,41.0,55.0,49.0,85.0,83.0,66.0,16.0,55.0,Undergraduate
CAR00304,Illustrator Specialist 304,Architecture & Construction,Track 4,Cluster 4,16.0,23.0,91.0,65.0,37.0,33.0,65.0,90.0,30.0,37.0,16.0,32.0,79.0,20.0,60.0,27.0,37.0,37.0,42.0,92.0,27.0,Postgraduate
CAR00305,Animator Specialist 305,Manufacturing,Track 5,Cluster 5,37.0,53.0,30.0,85.0,27.0,68.0,92.0,73.0,38.0,60.0,53.0,81.0,60.0,32.0,73.0,72.0,92.0,50.0,83.0,39.0,94.0,Professional Degree
CAR00306,Chef Specialist 306,Energy,Track 6,Cluster 6,65.0,25.0,30.0,57.0,71.0,84.0,93.0,65.0,15.0,54.0,20.0,69.0,36.0,33.0,25.0,68.0,72.0,79.0,75.0,17.0,28.0,Professional Degree
CAR00307,Hotel Manager Specialist 307,Transportation,Track 7,Cluster 7,22.0,19.0,49.0,61.0,32.0,47.0,74.0,94.0,15.0,46.0,70.0,87.0,70.0,23.0,67.0,80.0,65.0,57.0,71.0,62.0,42.0,Higher Secondary
CAR00308,Travel Consultant Specialist 308,Aviation,Track 8,Cluster 8,79.0,54.0,26.0,39.0,31.0,94.0,76.0,62.0,24.0,49.0,17.0,34.0,62.0,93.0,62.0,72.0,66.0,19.0,61.0,74.0,19.0,Higher Secondary
CAR00309,Sports Coach Specialist 309,Marine,Track 9,Cluster 9,33.0,72.0,26.0,77.0,22.0,77.0,33.0,87.0,54.0,86.0,15.0,37.0,69.0,78.0,88.0,58.0,33.0,79.0,86.0,52.0,36.0,Professional Degree
CAR00310,Sports Scientist Specialist 310,Business,Track 10,Cluster 10,87.0,79.0,53.0,65.0,87.0,39.0,61.0,26.0,47.0,52.0,67.0,74.0,19.0,37.0,78.0,28.0,34.0,24.0,92.0,26.0,32.0,Postgraduate
CAR00311,Supply Chain Analyst Specialist 311,Finance,Track 1,Cluster 11,19.0,53.0,68.0,55.0,77.0,21.0,56.0,32.0,46.0,62.0,82.0,22.0,77.0,41.0,77.0,72.0,60.0,20.0,63.0,51.0,15.0,Undergraduate
CAR00312,Logistics Manager Specialist 312,Law,Track 2,Cluster 12,48.0,93.0,65.0,74.0,30.0,35.0,20.0,42.0,39.0,21.0,61.0,43.0,86.0,80.0,93.0,17.0,29.0,52.0,76.0,55.0,24.0,Higher Secondary
CAR00313,Electrician Specialist 313,Education,Track 3,Cluster 13,85.0,27.0,51.0,43.0,87.0,92.0,54.0,56.0,30.0,53.0,32.0,28.0,50.0,15.0,84.0,84.0,95.0,54.0,56.0,22.0,76.0,Diploma
CAR00314,Welder Specialist 314,Psychology & Social Services,Track 4,Cluster 14,32.0,78.0,95.0,,47.0,94.0,72.0,68.0,42.0,91.0,26.0,44.0,34.0,92.0,32.0,92.0,64.0,88.0,55.0,78.0,44.0,Higher Secondary
CAR00315,Technician Specialist 315,Government & Public Service,Track 5,Cluster 15,66.0,90.0,85.0,66.0,35.0,,18.0,87.0,75.0,35.0,35.0,67.0,73.0,31.0,94.0,61.0,39.0,63.0,74.0,45.0,82.0,Postgraduate
CAR00316,Research Scientist Specialist 316,Defence & Security,Track 6,Cluster 16,53.0,55.0,90.0,62.0,20.0,40.0,43.0,95.0,,37.0,64.0,38.0,62.0,42.0,43.0,75.0,95.0,26.0,42.0,15.0,34.0,Higher Secondary
CAR00317,Software Developer Specialist 317,Media & Communication,Track 7,Cluster 17,30.0,33.0,15.0,18.0,32.0,78.0,75.0,94.0,29.0,46.0,86.0,18.0,25.0,77.0,69.0,59.0,66.0,69.0,81.0,31.0,81.0,Diploma
CAR00318,Data Scientist Specialist 318,Arts & Design,Track 8,Cluster 18,27.0,52.0,28.0,39.0,76.0,74.0,34.0,29.0,22.0,15.0,33.0,47.0,64.0,73.0,18.0,27.0,36.0,66.0,43.0,78.0,91.0,Diploma
CAR00319,AI Engineer Specialist 319,Fashion,Track 9,Cluster 19,52.0,70.0,86.0,73.0,82.0,36.0,90.0,83.0,65.0,50.0,23.0,77.0,73.0,18.0,18.0,39.0,17.0,95.0,28.0,89.0,24.0,Undergraduate
CAR00320,Machine Learning Engineer Specialist 320,Hospitality & Tourism,Track 10,Cluster 20,40.0,50.0,41.0,26.0,87.0,56.0,62.0,47.0,47.0,67.0,70.0,93.0,85.0,25.0,29.0,41.0,63.0,62.0,30.0,30.0,78.0,Postgraduate
CAR00321,Cybersecurity Analyst Specialist 321,Sports,Track 1,Cluster 21,20.0,86.0,95.0,28.0,52.0,86.0,90.0,19.0,69.0,48.0,70.0,45.0,47.0,20.0,35.0,67.0,73.0,42.0,74.0,81.0,76.0,Secondary
CAR00322,Cloud Engineer Specialist 322,Logistics & Supply Chain,Track 2,Cluster 22,86.0,45.0,84.0,54.0,,63.0,35.0,37.0,38.0,33.0,73.0,69.0,91.0,63.0,79.0,28.0,73.0,47.0,60.0,15.0,94.0,Secondary
CAR00323,Database Administrator Specialist 323,Skilled Trades,Track 3,Cluster 23,59.0,50.0,28.0,77.0,52.0,51.0,52.0,58.0,52.0,51.0,38.0,42.0,68.0,86.0,44.0,44.0,31.0,57.0,41.0,92.0,22.0,Higher Secondary
CAR00324,Web Developer Specialist 324,Research,Track 4,Cluster 24,,60.0,40.0,53.0,29.0,88.0,92.0,29.0,28.0,23.0,93.0,31.0,44.0,56.0,48.0,58.0,65.0,19.0,80.0,83.0,88.0,Higher Secondary
CAR00325,Mobile App Developer Specialist 325,Technology,Track 5,Cluster 25,35.0,53.0,22.0,41.0,76.0,48.0,93.0,47.0,52.0,87.0,33.0,82.0,64.0,59.0,87.0,89.0,29.0,73.0,41.0,90.0,73.0,Undergraduate
CAR00326,Network Engineer Specialist 326,Engineering,Track 6,Cluster 26,36.0,79.0,65.0,41.0,76.0,16.0,58.0,53.0,57.0,41.0,45.0,83.0,90.0,23.0,74.0,73.0,65.0,54.0,29.0,53.0,69.0,Postgraduate
CAR00327,Data Analyst Specialist 327,Healthcare,Track 7,Cluster 27,20.0,,48.0,38.0,88.0,85.0,28.0,30.0,42.0,44.0,17.0,85.0,84.0,81.0,44.0,50.0,81.0,84.0,38.0,89.0,42.0,Professional Degree
CAR00328,Business Analyst Specialist 328,Life Sciences,Track 8, Cluster 28 ,17.0,43.0,51.0,50.0,48.0,29.0,62.0,38.0,56.0,54.0,89.0,48.0,47.0,65.0,65.0,39.0,83.0,73.0,94.0,59.0,45.0,Postgraduate
CAR00329,Civil Engineer Specialist 329,Agriculture,Track 9,Cluster 29,88.0,67.0,86.0,85.0,44.0,32.0,19.0,18.0,30.0,84.0,77.0,58.0,93.0,48.0,40.0,85.0,50.0,34.0,88.0,87.0,57.0,Professional Degree
CAR00330,Mechanical Engineer Specialist 330,Environment,Track 10,Cluster 30,32.0,43.0,47.0,76.0,,23.0,60.0,29.0,38.0,29.0,85.0,63.0,63.0,44.0,80.0,32.0,60.0,20.0,20.0,25.0,30.0,Secondary
CAR00331,Electrical Engineer Specialist 331,Architecture & Construction,Track 1,Cluster 1,32.0,21.0,39.0,65.0,26.0,35.0,44.0,39.0,81.0,32.0,80.0,87.0,91.0,72.0,85.0,24.0,16.0,30.0,79.0,78.0,28.0,Higher Secondary
CAR00332,Electronics Engineer Specialist 332,Manufacturing,Track 2,Cluster 2,52.0,54.0,79.0,86.0,54.0,70.0,73.0,43.0,24.0,62.0,93.0,39.0,83.0,18.0,74.0,55.0,34.0,77.0,51.0,92.0,88.0,Secondary
CAR00333,Chemical Engineer Specialist 333,Energy, Track 3  ,Cluster 3,52.0,78.0,36.0,31.0,82.0,64.0,56.0,86.0,87.0,47.0,58.0,56.0,40.0,77.0,51.0,71.0,78.0,19.0,22.0,37.0,88.0,Undergraduate
CAR00334,Biomedical Engineer Specialist 334,Transportation,Track 4,Cluster 4,78.0,81.0,36.0,32.0,42.0,65.0,16.0,37.0,92.0,19.0,24.0,51.0,78.0,81.0,36.0,32.0,73.0,47.0,68.0,65.0,28.0,Postgraduate
CAR00335,Environmental Engineer Specialist 335,Aviation,Track 5,Cluster 5,79.0,59.0,44.0,59.0,27.0,69.0,25.0,90.0,49.0,17.0,46.0,87.0,27.0,58.0,86.0,65.0,34.0,20.0,33.0,49.0,40.0,Secondary
CAR00336,Architect Specialist 336,Marine,Track 6, Cluster 6 ,52.0,74.0,37.0,24.0,57.0,86.0,61.0,47.0,89.0,38.0,63.0,51.0,76.0,32.0,75.0,38.0,55.0,36.0,59.0,77.0,37.0,Postgraduate
CAR00337,Urban Planner Specialist 337,Business,Track 7,Cluster 7,87.0,51.0,67.0,59.0,28.0,75.0,80.0,79.0,16.0,,34.0,54.0,30.0,79.0,75.0,60.0,94.0,55.0,47.0,63.0,70.0,Secondary
CAR00338,Doctor Specialist 338,Finance,Track 8,Cluster 8,83.0,28.0,37.0,41.0,43.0,51.0,23.0,80.0,65.0,54.0,90.0,26.0,74.0,78.0,44.0,52.0,34.0,17.0,90.0,48.0,37.0,Diploma
CAR00339,Nurse Specialist 339,Law,Track 9,Cluster 9,,41.0,79.0,74.0,57.0,,21.0,82.0,52.0,87.0,45.0,42.0,54.0,39.0,51.0,91.0,19.0,73.0,53.0,48.0,15.0,Secondary
CAR00340,Physiotherapist Specialist 340,Education,Track 10,Cluster 10,86.0,78.0,83.0,58.0,31.0,58.0,90.0,84.0,20.0,45.0,43.0,28.0,32.0,80.0,40.0,18.0,55.0,18.0,83.0,85.0,44.0,Secondary
CAR00341,Pharmacist Specialist 341,Psychology & Social Services,Track 1,Cluster 11,92.0,37.0,67.0,89.0,41.0,70.0,28.0,57.0,62.0,30.0,54.0,31.0,23.0,16.0,52.0,,78.0,82.0,23.0,28.0,41.0,Professional Degree
CAR00342,Dentist Specialist 342,Government & Public Service, Track 2 ,Cluster 12,75.0,32.0,78.0,79.0,79.0,34.0,36.0,41.0,67.0,63.0,69.0,65.0,94.0,88.0,91.0,53.0,92.0,66.0,67.0,15.0,51.0,Secondary
CAR00343,Medical Laboratory Scientist Specialist 343,Defence & Security,Track 3,Cluster 13,93.0,65.0,19.0,27.0,41.0,17.0,90.0,45.0,40.0,61.0,89.0,75.0,41.0,39.0,79.0,19.0,90.0,50.0,17.0,36.0,90.0,Higher Secondary
CAR00344,Microbiologist Specialist 344,Media & Communication,Track 4,Cluster 14,35.0,63.0,31.0,94.0,86.0,22.0,48.0,43.0,37.0,47.0,31.0,43.0,81.0,31.0,85.0,93.0,56.0,31.0,74.0,26.0,90.0,Undergraduate
CAR00345,Biotechnologist Specialist 345,Arts & Design,Track 5,Cluster 15,18.0,55.0,22.0,15.0,17.0,55.0,80.0,94.0,79.0,74.0,48.0,,18.0,51.0,56.0,85.0,75.0,70.0,75.0,37.0,47.0,Professional Degree
CAR00346,Geneticist Specialist 346,Fashion,Track 6,Cluster 16,88.0,93.0,53.0,89.0,95.0,69.0,69.0,21.0,72.0,68.0,32.0,92.0,84.0,74.0,32.0,92.0,44.0,74.0,33.0,36.0,69.0,Diploma
CAR00347,Agricultural Scientist Specialist 347,Hospitality & Tourism,Track 7,Cluster 17,25.0,16.0,70.0,42.0,39.0,30.0,45.0,58.0,35.0,42.0,94.0,28.0,87.0,27.0,61.0,49.0,93.0,86.0,31.0,93.0,67.0,Professional Degree
CAR00348,Agronomist Specialist 348,Sports ,Track 8,Cluster 18,55.0,91.0,76.0,58.0,16.0,55.0,95.0,24.0,43.0,22.0,59.0,42.0,35.0,26.0,77.0,55.0,19.0,45.0,42.0,51.0,,Postgraduate
CAR00349,Forestry Specialist Specialist 349,Logistics & Supply Chain,Track 9,Cluster 19,41.0,45.0,65.0,43.0,79.0,59.0,18.0,86.0,31.0,70.0,93.0,27.0,74.0,,40.0,85.0,79.0,23.0,84.0,19.0,34.0,Professional Degree
CAR00350,Environmental Scientist Specialist 350,Skilled Trades,Track 10,Cluster 20,28.0,25.0,64.0,66.0,55.0,70.0,16.0,90.0,76.0,79.0,27.0,30.0,32.0,34.0,55.0,21.0,25.0,83.0,18.0,32.0,23.0,Postgraduate
CAR00351,Renewable Energy Engineer Specialist 351,Research,Track 1, Cluster 21 ,58.0,40.0,94.0,75.0,92.0,45.0,93.0,36.0,75.0,51.0,18.0,78.0,65.0,54.0,46.0,82.0,16.0,61.0,39.0,40.0,53.0,Undergraduate
CAR00352,Energy Analyst Specialist 352,Technology,Track 2,Cluster 22,91.0,76.0,47.0,32.0,65.0,93.0,64.0,94.0,83.0,69.0,42.0,19.0,94.0,63.0,83.0,49.0,41.0,72.0,72.0,36.0,35.0,Undergraduate
CAR00353,Automotive Engineer Specialist 353,Engineering,Track 3,Cluster 23,55.0,31.0,50.0,78.0,23.0,57.0,58.0,95.0,46.0,82.0,95.0,86.0,37.0,38.0,22.0,32.0,91.0,75.0,52.0,35.0,75.0,Higher Secondary
CAR00354,Aviation Engineer Specialist 354,Healthcare,Track 4,Cluster 24,39.0,91.0,73.0,21.0,88.0,77.0,65.0,88.0,86.0,72.0,63.0,89.0,79.0,87.0,74.0,89.0,39.0,37.0,56.0,38.0,21.0,Higher Secondary
CAR00355,Pilot Specialist 355,Life Sciences,Track 5,Cluster 25,89.0,75.0,94.0,88.0,65.0,60.0,88.0,82.0,65.0,35.0,,70.0,67.0,37.0,27.0,46.0,51.0,82.0,42.0,73.0,19.0,Professional Degree
CAR00356,Marine Engineer Specialist 356,Agriculture,Track 6,Cluster 26,43.0,64.0,83.0,29.0,95.0,25.0,85.0,51.0,61.0,44.0,33.0,65.0,60.0,88.0,78.0,47.0,27.0,17.0,25.0,29.0,67.0,Postgraduate
CAR00357,Oceanographer Specialist 357,Environment,Track 7,Cluster 27,94.0,44.0,45.0,61.0,58.0,22.0,78.0,52.0,40.0,86.0,42.0,60.0,77.0,29.0,56.0,45.0,71.0,83.0,53.0,40.0,20.0,Professional Degree
CAR00358,Accountant Specialist 358,Architecture & Construction,Track 8,Cluster 28,75.0,85.0,29.0,18.0,18.0,23.0,39.0,,69.0,65.0,35.0,18.0,66.0,81.0,42.0,27.0,75.0,91.0,27.0,37.0,31.0,Higher Secondary
CAR00359,Financial Analyst Specialist 359,Manufacturing,Track 9,Cluster 29,38.0,19.0,57.0,55.0,92.0,86.0,72.0,84.0,72.0,76.0,26.0,22.0,66.0,39.0,37.0,15.0,59.0,46.0,21.0,52.0,88.0,Diploma
CAR00360,Auditor Specialist 360,Energy,Track 10,Cluster 30,55.0,63.0,75.0,,85.0,64.0,76.0,73.0,55.0,32.0,82.0,,69.0,29.0,27.0,57.0,80.0,64.0,65.0,55.0,39.0,Professional Degree
CAR00361,Investment Analyst Specialist 361,Transportation,Track 1,Cluster 1,,77.0,81.0,27.0,28.0,17.0,36.0,50.0,30.0,57.0,30.0,79.0,89.0,34.0,47.0,74.0,34.0,48.0,15.0,22.0,75.0,Secondary
CAR00362,Economist Specialist 362,Aviation,Track 2,Cluster 2,37.0,92.0,27.0,39.0,78.0,51.0,23.0,34.0,67.0,84.0,55.0,21.0,95.0,46.0,38.0,87.0,34.0,22.0,36.0,40.0,67.0,Undergraduate
CAR00363,Entrepreneur Specialist 363,Marine,Track 3,Cluster 3,60.0,34.0,19.0,51.0,57.0,,39.0,28.0,24.0,63.0,28.0,39.0,74.0,38.0,43.0,48.0,59.0,50.0,76.0,27.0,80.0,Diploma
CAR00364,Marketing Specialist Specialist 364,Business,Track 4,Cluster 4,48.0,54.0,89.0,80.0,56.0,72.0,71.0,47.0,47.0,75.0,58.0,24.0,55.0,79.0,15.0,45.0,89.0,81.0,34.0,82.0,64.0,Higher Secondary
CAR00365,Human Resources Specialist Specialist 365,Finance,Track 5,Cluster 5,53.0,76.0,40.0,75.0,18.0,20.0,39.0,60.0,94.0,51.0,38.0,83.0,59.0,28.0,48.0,57.0,32.0,60.0,28.0,19.0,52.0,Undergraduate
CAR00366,Lawyer Specialist 366,Law,Track 6,Cluster 6,33.0,90.0,84.0,49.0,43.0,22.0,57.0,34.0,85.0,89.0,77.0,83.0,24.0,26.0,63.0,19.0,88.0,44.0,29.0,83.0,45.0,Undergraduate
CAR00367,Legal Advisor Specialist 367,Education,Track 7,Cluster 7,85.0,38.0,83.0,66.0,34.0,71.0,27.0,72.0,52.0,31.0,40.0,87.0,15.0,66.0,42.0,33.0,66.0,23.0,55.0,30.0,54.0,Higher Secondary
CAR00368,Teacher Specialist 368,Psychology & Social Services,Track 8,Cluster 8,94.0,49.0,55.0,54.0,28.0,16.0,92.0,52.0,22.0,54.0,87.0,67.0,29.0,93.0,50.0,52.0,23.0,43.0,74.0,30.0,36.0,Secondary
CAR00369,Education Consultant Specialist 369,Government & Public Service,Track 9,Cluster 9,64.0,56.0,61.0,36.0,17.0,40.0,64.0,90.0,55.0,95.0,73.0,64.0,87.0,30.0,53.0,47.0,32.0,20.0,19.0,44.0,25.0,Undergraduate
CAR00370,Psychologist Specialist 370,Defence & Security,Track 10,Cluster 10,49.0,36.0,57.0,58.0,91.0,21.0,64.0,76.0,41.0,90.0,53.0,43.0,72.0,15.0,56.0,82.0,32.0,23.0,53.0,62.0,86.0,Higher Secondary
CAR00371,Counsellor Specialist 371,Media & Communication,Track 1,Cluster 11,32.0,19.0,,67.0,60.0,35.0,58.0,91.0,90.0,83.0,50.0,42.0,78.0,52.0,38.0,78.0,75.0,50.0,25.0,23.0,55.0,Diploma
CAR00372,Social Worker Specialist 372,Arts & Design,Track 2,Cluster 12,95.0,32.0,89.0,65.0,16.0,44.0,23.0,58.0,60.0,32.0,56.0,36.0,50.0,81.0,69.0,84.0,16.0,28.0,61.0,69.0,17.0,Postgraduate
CAR00373,Civil Services Officer Specialist 373,Fashion ,Track 3,Cluster 13,33.0,55.0,53.0,67.0,92.0,51.0,,82.0,94.0,,61.0,89.0,47.0,33.0,54.0,25.0,84.0,42.0,79.0,44.0,92.0,Postgraduate
CAR00374,Policy Analyst Specialist 374,Hospitality & Tourism,Track 4,Cluster 14,94.0,66.0,42.0,73.0,38.0,65.0,52.0,18.0,42.0,20.0,15.0,67.0,91.0,24.0,88.0,86.0,70.0,80.0,72.0,46.0,29.0,Secondary
CAR00375,Defence Officer Specialist 375,Sports,Track 5,Cluster 15,25.0,49.0,60.0,72.0,81.0,66.0,18.0,70.0,41.0,62.0,25.0,84.0,36.0,44.0,17.0,66.0,81.0,35.0,24.0,59.0,82.0,Postgraduate
CAR00376,Journalist Specialist 376,Logistics & Supply Chain,Track 6,Cluster 16,42.0,59.0,22.0,52.0,54.0,90.0,79.0,73.0,83.0,29.0,80.0,74.0,95.0,25.0,45.0,63.0,75.0,65.0,33.0,34.0,52.0,Secondary
CAR00377,Public Relations Specialist Specialist 377,Skilled Trades,Track 7,Cluster 17,93.0,92.0,82.0,42.0,20.0,27.0,73.0,62.0,73.0,80.0,67.0,,52.0,85.0,33.0,16.0,93.0,15.0,58.0,92.0,74.0,Professional Degree
CAR00378,Content Creator Specialist 378,Research,Track 8,Cluster 18,23.0,57.0,50.0,30.0,58.0,74.0,86.0,57.0,23.0,60.0,92.0,35.0,37.0,81.0,24.0,43.0,27.0,56.0,16.0,50.0,95.0,Professional Degree
CAR00379,Graphic Designer Specialist 379,Technology,Track 9,Cluster 19,55.0,85.0,29.0,34.0,80.0,,28.0,95.0,68.0,45.0,68.0,16.0,73.0,84.0,40.0,59.0,28.0,19.0,21.0,24.0,84.0,Professional Degree
CAR00380,UI UX Designer Specialist 380,Engineering,Track 10,Cluster 20,40.0,24.0,23.0,30.0,28.0,,77.0,42.0,93.0,84.0,76.0,23.0,71.0,21.0,58.0,20.0,40.0,33.0,80.0,15.0,22.0,Diploma
CAR00381,Product Designer Specialist 381,Healthcare,Track 1,Cluster 21,42.0,38.0,36.0,66.0,55.0,16.0,62.0,34.0,27.0,73.0,83.0,38.0,48.0,18.0,84.0,81.0,67.0,71.0,92.0,49.0,54.0,Professional Degree
CAR00382,Fashion Designer Specialist 382,Life Sciences,Track 2,Cluster 22,62.0,44.0,48.0,18.0,28.0,19.0,45.0,75.0,36.0,24.0,74.0,17.0,39.0,84.0,37.0,38.0,20.0,34.0,26.0,52.0,61.0,Secondary
CAR00383,Illustrator Specialist 383,Agriculture,Track 3,Cluster 23,57.0,49.0,57.0,20.0,49.0,79.0,,57.0,76.0,75.0,90.0,61.0,81.0,64.0,83.0,71.0,20.0,24.0,72.0,81.0,65.0,Undergraduate
CAR00384,Animator Specialist 384,Environment,Track 4,Cluster 24,75.0,39.0,18.0,28.0,77.0,89.0,65.0,44.0,43.0,77.0,22.0,93.0,78.0,83.0,18.0,17.0,69.0,27.0,88.0,46.0,53.0,Diploma
CAR00385,Chef Specialist 385,Architecture & Construction,Track 5,Cluster 25,63.0,19.0,61.0,94.0,77.0,83.0,62.0,32.0,48.0,72.0,60.0,86.0,53.0,44.0,16.0,69.0,44.0,84.0,77.0,23.0,66.0,Higher Secondary
CAR00386,Hotel Manager Specialist 386,Manufacturing,Track 6,Cluster 26,74.0,24.0,35.0,76.0,69.0,34.0,81.0,18.0,49.0,,56.0,58.0,32.0,65.0,58.0,34.0,82.0,70.0,73.0,25.0,51.0,Diploma
CAR00387,Travel Consultant Specialist 387,Energy,Track 7,Cluster 27,65.0,56.0,58.0,88.0,71.0,75.0,69.0,86.0,42.0,35.0,30.0,47.0,62.0,68.0,21.0,86.0,36.0,21.0,33.0,69.0,77.0,Higher Secondary
CAR00388,Sports Coach Specialist 388,Transportation,Track 8,Cluster 28,91.0,62.0,22.0,33.0,55.0,92.0,51.0,23.0,81.0,39.0,58.0,52.0,69.0,80.0,75.0,22.0,87.0,92.0,,39.0,44.0,Postgraduate
CAR00389,Sports Scientist Specialist 389,Aviation,Track 9,Cluster 29,36.0,41.0,95.0,55.0,22.0,37.0,74.0,95.0,36.0,37.0,80.0,83.0,48.0,44.0,74.0,20.0,60.0,78.0,34.0,20.0,86.0,Professional Degree
CAR00390,Supply Chain Analyst Specialist 390,Marine,Track 10,Cluster 30,56.0,35.0,90.0,21.0,89.0,47.0,84.0,36.0,72.0,86.0,68.0,41.0,29.0,19.0,54.0,25.0,69.0,41.0,62.0,55.0,73.0,Diploma
CAR00391,Logistics Manager Specialist 391,Business,Track 1,Cluster 1,68.0,84.0,20.0,43.0,87.0,50.0,83.0,75.0,52.0,37.0,33.0,66.0,69.0,19.0,34.0,56.0,68.0,57.0,62.0,48.0,28.0,Undergraduate
CAR00392,Electrician Specialist 392, Finance ,Track 2,Cluster 2,36.0,76.0,44.0,86.0,86.0,78.0,29.0,84.0,42.0,28.0,56.0,62.0,32.0,77.0,63.0,68.0,69.0,78.0,89.0,65.0,70.0,Higher Secondary
CAR00393,Welder Specialist 393,Law,Track 3,Cluster 3,55.0,42.0,70.0,27.0,94.0,70.0,19.0,23.0,50.0,91.0,33.0,43.0,59.0,22.0,27.0,94.0,47.0,31.0,33.0,90.0,15.0,Postgraduate
CAR00394,Technician Specialist 394,Education,Track 4,Cluster 4,40.0,66.0,69.0,26.0,19.0,15.0,32.0,79.0,31.0,78.0,24.0,77.0,31.0,90.0,42.0,45.0,36.0,33.0,17.0,,73.0,Undergraduate
